train/loss_f,step,train/loss_b,train/time_per_it,val/logp,val/nfe
,660,266.1567314558502,,,
4704.305910982663,670,,,,
,670,261.59547811848506,,,
600.9235750400869,680,,,,
,680,259.8291737281853,,,
4223.446971953374,690,,,,
,690,333.8167626136784,,,
770.4139543532133,700,,,,
,700,292.0946896113826,,,
2500.0076090085454,710,,,,
,710,273.47173677088387,,,
2515.0789605483556,720,,,,
,720,266.42676906983087,,,
15608.594561555936,730,,,,
,730,470.9846291157553,,,
555.1398536227705,740,,,,
,740,292.22781789401665,,,
2646.547677486554,750,,,,
,750,269.3779363088868,,,
645.7251357316645,760,,,,
,760,287.2155413905401,,,
469.7208994941525,770,,,,
,770,324.87840557311233,,,
509.04500388964334,780,,,,
,780,266.41961781368263,,,
359.58990506666714,790,,,,
,790,278.65373092646433,,,
2194.8789227752018,800,,,,
,800,262.7171346915984,,,
1099.4948795562718,810,,,,
,810,266.1951124627919,,,
915.8987865675738,820,,,,
,820,3.756504368124872e+20,,,
495.79346485645146,830,,,,
,830,276.7172899603497,,,
377.6668818698282,840,,,,
,840,271.53553367932057,,,
1129.8388113180602,850,,,,
,850,280.6857998406448,,,
322.7392318704922,860,,,,
,860,267.1715907759026,,,
11646.578325726232,870,,,,
,870,3.6050104683295854e+20,,,
15075.520033485242,880,,,,
,880,1.6317805176015888e+21,,,
598.441141263224,890,,,,
,890,277.8689323509765,,,
689.6288629950177,900,,,,
,900,266.16894348710525,,,
1430.3680476179425,910,,,,
,910,264.7701263944898,,,
324.8574779627789,920,,,,
,920,260.9922804223883,,,
2019.6765742337475,930,,,,
,930,9.926905490960263e+20,,,
394.7704125386016,940,,,,
,940,264.17959195417956,,,
2984.264841564667,950,,,,
,950,263.3970054205406,,,
1608.4979711218398,960,,,,
,960,266.51504805364164,,,
345.386004407904,970,,,,
,970,268.7264033634421,,,
371.107063923483,980,,,,
,980,470.29190945432543,,,
490.33624190025955,990,,,,
,990,266.35916463110425,,,
1102.8300563978923,1000,,,,
,1000,272.6129251551623,,,
,1000,,0.20590143148599963,,
,1000,,,-15.280256617761879,
,1000,,,,50.0
